timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:45:34,b'RT @gembong_warsono: PDIP menilai atap tribun penonton Formula E roboh lantaran keinginan untuk terselenggaranya ajang balap mobil listrik\xe2\x80\xa6',0,23,1531210197078667264,RizkiR4madani
2022-05-30 09:45:32,b'RT @CNNIndonesia: Formula E Jakarta Pastikan Tak Pakai Jasa Pawang Hujan https://t.co/YNbc2OATLE',0,65,1531210188857802752,Ziyadu_R
2022-05-30 09:45:30,"b'RT @Gandawan: Kemenparekraf dan Kementerian BUMN, kalian dimana? Sedang berbuat apa?\nFormula E itu manfaatnya untuk rakyat dan bangsa Indon\xe2\x80\xa6'",0,363,1531210183661486081,muhammad_mursid
2022-05-30 09:45:23,b'RT @aniesmania: Membludak\xe2\x80\xbc\xef\xb8\x8fWarga Berebut Ingin Melihat Show Car Formula E di Bundaran HI. Mantap banget \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n#Anies #AniesBaswedan https://\xe2\x80\xa6',0,36,1531210153109770241,AmulaniAmulani1
2022-05-30 09:45:21,b'RT @TanHuihui19: Ternyat uang komitmend fee belum di bayar oleh DKI Patesan Mau di tuntut oleh FORMULA E HOLDINGS DI SINGAPORE Biaya Penyel\xe2\x80\xa6',0,210,1531210143324463104,sojoeganteng
2022-05-30 09:45:18,"b'RT @ZainalAbdiAlam4: @yusuf_dumdum Tribun penonton Formula E yanv ambruk sudah di perbaiki...\nBytheway,bagaimana kabar nya kota Semarang,su\xe2\x80\xa6'",0,3,1531210131039395840,awaloedin02
2022-05-30 09:45:17,b'RT @aniesmania: Ibu-ibu jadi paham sama pentingnya event Formula E sebagai menurunkan emisi. Kendaraan berbasis listrik adalah masa depan.\xe2\x80\xa6',0,41,1531210128120160267,iwan_hose
2022-05-30 09:45:15,"b'RT @Gandawan: Kemenparekraf dan Kementerian BUMN, kalian dimana? Sedang berbuat apa?\nFormula E itu manfaatnya untuk rakyat dan bangsa Indon\xe2\x80\xa6'",0,363,1531210120772096000,izzielss
2022-05-30 09:45:02,b'@blendedbeep Plis pembalap Formula E sering banget delay atau telat flight',0,0,1531210065205940225,formulatwtindo
2022-05-30 09:45:02,"b'Tiket Formula E Hampir Habis, Berikut Kategori Tiket yang Masih Tersedia\n \n#PramborsNews \nhttps://t.co/EbxPmMRk1R'",1,0,1531210064480342017,Prambors
